;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:18/01/2023 at 16:54:28
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE25-V2 (s/n:539122)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE25-V2
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:1.300uJ             
;Max:42.70uJ             
;Average:21.19uJ             
;Std.Dev.:6.425uJ             
;Overrange:0                   
;Total Pulses:4829                

;Channel B:Statistics
;Min:1.670uJ             
;Max:8.860uJ             
;Average:4.829uJ             
;Std.Dev.:1.386uJ             
;Overrange:0                   
;Total Pulses:4835                
;--------------------


;First Pulse Arrived : 18/01/2023 at 16:54:32
  Timestamp   	  Channel A  	  Channel B  	
         4.901	  1.290e-05 	             	
         4.903	             	  3.060e-06 	
         4.921	  1.390e-05 	  3.210e-06 	
         4.941	  1.470e-05 	  3.350e-06 	
         4.960	  1.740e-05 	  3.620e-06 	
         4.982	  1.320e-05 	  3.280e-06 	
         5.001	  1.260e-05 	             	
         5.003	             	  3.000e-06 	
         5.022	  1.390e-05 	  3.160e-06 	
         5.042	  1.950e-05 	  4.200e-06 	
         5.061	  1.730e-05 	  3.810e-06 	
         5.081	  1.260e-05 	  3.230e-06 	
         5.101	  1.150e-05 	  2.820e-06 	
         5.120	  1.350e-05 	  2.990e-06 	
         5.141	  1.310e-05 	  3.200e-06 	
         5.161	  1.350e-05 	  3.010e-06 	
         5.182	  1.470e-05 	  3.330e-06 	
         5.201	  1.510e-05 	             	
         5.203	             	  3.420e-06 	
         5.221	  1.660e-05 	  3.980e-06 	
         5.242	  9.100e-06 	  2.520e-06 	
         5.261	  1.070e-05 	  2.400e-06 	
         5.281	  1.600e-05 	  3.190e-06 	
         5.302	  1.410e-05 	  3.250e-06 	
         5.321	  1.470e-05 	  3.270e-06 	
         5.342	  1.380e-05 	  3.050e-06 	
         5.360	  1.640e-05 	  3.510e-06 	
         5.381	  1.510e-05 	  3.380e-06 	
         5.402	  1.500e-05 	  3.490e-06 	
         5.421	  1.520e-05 	  3.540e-06 	
         5.442	  9.700e-06 	  2.550e-06 	
         5.461	  1.190e-05 	  2.590e-06 	
         5.480	  1.030e-05 	  2.580e-06 	
         5.500	  1.350e-05 	  2.880e-06 	
         5.521	  1.280e-05 	  3.040e-06 	
         5.541	  1.470e-05 	  3.400e-06 	
         5.561	  1.500e-05 	  3.570e-06 	
         5.582	  1.550e-05 	  3.670e-06 	
         5.602	  1.390e-05 	  3.300e-06 	
         5.621	  1.230e-05 	  2.990e-06 	
         5.641	  1.570e-05 	  3.580e-06 	
         5.661	  1.280e-05 	  3.200e-06 	
         5.682	  1.550e-05 	  3.580e-06 	
         5.701	  1.410e-05 	  3.380e-06 	
         5.720	  1.470e-05 	  3.400e-06 	
         5.741	  1.540e-05 	  3.570e-06 	
         5.761	  1.520e-05 	  3.530e-06 	
         5.782	  9.000e-06 	  2.460e-06 	
         5.802	  1.390e-05 	  3.080e-06 	
         5.820	  1.420e-05 	  2.980e-06 	
         5.842	  1.260e-05 	  2.830e-06 	
         5.861	  1.840e-05 	  3.700e-06 	
         5.882	  1.380e-05 	  3.400e-06 	
         5.901	  1.290e-05 	  3.080e-06 	
         5.921	  1.310e-05 	  2.960e-06 	
         5.942	  1.380e-05 	  2.980e-06 	
         5.961	  1.130e-05 	  2.840e-06 	
         5.982	  1.350e-05 	  3.060e-06 	
         6.001	  1.470e-05 	  3.210e-06 	
         6.021	  1.360e-05 	  3.060e-06 	
         6.042	  1.310e-05 	  3.120e-06 	
         6.061	  1.870e-05 	  4.040e-06 	
         6.082	  1.090e-05 	  2.880e-06 	
         6.101	  1.350e-05 	  3.090e-06 	
         6.122	  1.630e-05 	  3.690e-06 	
         6.141	  1.660e-05 	  3.790e-06 	
         6.160	  1.410e-05 	  3.460e-06 	
         6.182	  1.610e-05 	  3.650e-06 	
         6.201	  1.450e-05 	  3.490e-06 	
         6.222	  1.350e-05 	  3.320e-06 	
         6.241	  1.570e-05 	  3.540e-06 	
         6.261	  1.740e-05 	  3.890e-06 	
         6.282	  1.280e-05 	  3.200e-06 	
         6.301	  1.660e-05 	  3.700e-06 	
         6.322	  1.540e-05 	  3.610e-06 	
         6.341	  1.230e-05 	  3.030e-06 	
         6.361	  1.520e-05 	  3.170e-06 	
         6.382	  1.760e-05 	  3.810e-06 	
         6.401	  1.610e-05 	  3.570e-06 	
         6.421	  1.540e-05 	  3.590e-06 	
         6.441	  1.550e-05 	  3.640e-06 	
         6.460	  1.680e-05 	  3.850e-06 	
         6.481	  1.360e-05 	  3.290e-06 	
         6.501	  1.550e-05 	  3.320e-06 	
         6.522	  1.410e-05 	  3.380e-06 	
         6.541	  1.480e-05 	  3.470e-06 	
         6.560	  1.540e-05 	  3.620e-06 	
         6.581	  1.130e-05 	  3.010e-06 	
         6.600	  1.580e-05 	  3.450e-06 	
         6.622	  1.500e-05 	  3.320e-06 	
         6.641	  1.570e-05 	  3.470e-06 	
         6.661	  1.630e-05 	  3.810e-06 	
         6.681	  1.730e-05 	  3.870e-06 	
         6.701	  1.600e-05 	  3.570e-06 	
         6.722	  1.840e-05 	  4.070e-06 	
         6.742	  1.820e-05 	  4.050e-06 	
         6.761	  1.500e-05 	  3.530e-06 	
         6.782	  1.580e-05 	  3.530e-06 	
         6.802	  1.450e-05 	  3.460e-06 	
         6.822	  1.480e-05 	  3.460e-06 	
         6.841	  1.160e-05 	  2.890e-06 	
         6.861	  1.630e-05 	  3.660e-06 	
         6.881	  1.340e-05 	  3.140e-06 	
         6.901	  1.450e-05 	  3.260e-06 	
         6.922	  1.510e-05 	  3.340e-06 	
         6.942	  1.350e-05 	  3.170e-06 	
         6.961	  1.580e-05 	  3.470e-06 	
         6.981	  1.630e-05 	  3.760e-06 	
         7.001	  1.670e-05 	  3.700e-06 	
         7.021	  1.340e-05 	  3.190e-06 	
         7.040	  1.610e-05 	  3.710e-06 	
         7.061	  1.410e-05 	  3.520e-06 	
         7.081	  2.090e-05 	  4.360e-06 	
         7.100	  1.340e-05 	  3.560e-06 	
         7.122	  1.290e-05 	  3.000e-06 	
         7.142	  1.830e-05 	  3.960e-06 	
         7.161	  1.380e-05 	  3.390e-06 	
         7.180	  1.570e-05 	  3.640e-06 	
         7.201	  1.700e-05 	  3.680e-06 	
         7.222	  1.200e-05 	  3.250e-06 	
         7.241	  1.580e-05 	  3.440e-06 	
         7.260	  1.440e-05 	  3.360e-06 	
         7.281	  1.600e-05 	  3.440e-06 	
         7.302	  1.890e-05 	  4.160e-06 	
         7.321	  1.580e-05 	  3.790e-06 	
         7.341	  1.830e-05 	  4.020e-06 	
         7.362	  1.540e-05 	  3.790e-06 	
         7.381	  1.440e-05 	  3.550e-06 	
         7.401	  1.350e-05 	  3.240e-06 	
         7.421	  1.510e-05 	  3.400e-06 	
         7.441	  1.990e-05 	  4.340e-06 	
         7.461	  1.710e-05 	  3.920e-06 	
         7.481	  1.230e-05 	  3.130e-06 	
         7.502	  1.410e-05 	  3.380e-06 	
         7.521	  1.580e-05 	  3.600e-06 	
         7.541	  1.730e-05 	  3.890e-06 	
         7.561	  1.340e-05 	  3.250e-06 	
         7.581	  1.630e-05 	  3.630e-06 	
         7.601	  1.770e-05 	  3.980e-06 	
         7.621	  1.610e-05 	  3.690e-06 	
         7.641	  1.860e-05 	  4.240e-06 	
         7.661	  1.550e-05 	  3.810e-06 	
         7.680	  1.950e-05 	  4.320e-06 	
         7.702	  1.570e-05 	  3.910e-06 	
         7.721	  1.520e-05 	  3.640e-06 	
         7.741	  1.790e-05 	  3.740e-06 	
         7.761	  1.710e-05 	  3.880e-06 	
         7.781	  1.770e-05 	  3.960e-06 	
         7.800	  1.410e-05 	  3.530e-06 	
         7.821	  1.700e-05 	  3.620e-06 	
         7.841	  1.660e-05 	  3.780e-06 	
         7.861	  1.090e-05 	  2.930e-06 	
         7.881	  1.480e-05 	  3.250e-06 	
         7.901	  2.080e-05 	  4.330e-06 	
         7.921	  1.550e-05 	  3.660e-06 	
         7.941	  2.010e-05 	  4.450e-06 	
         7.960	  1.360e-05 	  3.530e-06 	
         7.981	  1.410e-05 	  3.320e-06 	
         8.002	  1.980e-05 	  4.170e-06 	
         8.021	  1.470e-05 	  3.690e-06 	
         8.041	  1.520e-05 	  3.510e-06 	
         8.061	  1.200e-05 	  2.800e-06 	
         8.081	  1.730e-05 	  3.660e-06 	
         8.102	  1.840e-05 	  4.020e-06 	
         8.121	  1.680e-05 	  3.960e-06 	
         8.141	  1.710e-05 	  3.960e-06 	
         8.161	  1.580e-05 	  3.680e-06 	
         8.180	  1.630e-05 	  3.750e-06 	
         8.201	  1.790e-05 	  3.900e-06 	
         8.221	  1.890e-05 	  4.000e-06 	
         8.242	  2.140e-05 	  4.610e-06 	
         8.261	  1.600e-05 	  3.980e-06 	
         8.280	  2.060e-05 	  4.700e-06 	
         8.302	  1.790e-05 	  4.280e-06 	
         8.321	  1.410e-05 	  3.490e-06 	
         8.342	  1.820e-05 	  3.810e-06 	
         8.361	  2.270e-05 	  5.050e-06 	
         8.381	  2.330e-05 	  5.190e-06 	
         8.401	  1.500e-05 	  3.820e-06 	
         8.421	  2.310e-05 	  5.050e-06 	
         8.441	  1.410e-05 	  3.830e-06 	
         8.461	  1.800e-05 	  4.120e-06 	
         8.480	  1.630e-05 	  3.820e-06 	
         8.501	  1.480e-05 	  3.440e-06 	
         8.521	  1.900e-05 	  4.150e-06 	
         8.542	  1.480e-05 	  3.550e-06 	
         8.560	  1.660e-05 	  3.790e-06 	
         8.582	  1.150e-05 	  2.990e-06 	
         8.601	  1.770e-05 	  3.720e-06 	
         8.621	  1.520e-05 	  3.510e-06 	
         8.641	  1.760e-05 	  3.620e-06 	
         8.660	  1.930e-05 	  4.110e-06 	
         8.681	  1.040e-05 	  2.800e-06 	
         8.702	  1.410e-05 	  3.160e-06 	
         8.721	  1.470e-05 	  3.370e-06 	
         8.741	  1.950e-05 	  4.130e-06 	
         8.760	  1.760e-05 	  3.930e-06 	
         8.781	  1.640e-05 	  3.880e-06 	
         8.802	  1.630e-05 	  3.830e-06 	
         8.821	  1.410e-05 	  3.420e-06 	
         8.841	  1.520e-05 	  3.740e-06 	
         8.861	  1.770e-05 	  3.750e-06 	
         8.880	  1.610e-05 	  3.780e-06 	
         8.902	  1.290e-05 	  3.190e-06 	
         8.921	  1.710e-05 	  3.850e-06 	
         8.942	  1.510e-05 	  3.570e-06 	
         8.961	  1.580e-05 	  3.600e-06 	
         8.981	  1.680e-05 	  3.870e-06 	
         9.001	  1.540e-05 	  3.580e-06 	
         9.021	  1.520e-05 	  3.520e-06 	
         9.042	  1.580e-05 	  3.590e-06 	
         9.061	  1.510e-05 	  3.470e-06 	
         9.082	  1.660e-05 	  3.650e-06 	
         9.101	  1.610e-05 	  3.760e-06 	
         9.120	  1.930e-05 	  4.120e-06 	
         9.142	  1.770e-05 	  3.950e-06 	
         9.161	  1.930e-05 	  4.370e-06 	
         9.180	  1.610e-05 	  3.810e-06 	
         9.201	  1.760e-05 	  3.890e-06 	
         9.221	  2.140e-05 	  4.540e-06 	
         9.241	  1.670e-05 	  4.000e-06 	
         9.261	  1.600e-05 	  3.680e-06 	
         9.281	  1.860e-05 	  4.130e-06 	
         9.302	  1.550e-05 	  3.700e-06 	
         9.321	  1.670e-05 	  3.740e-06 	
