;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 12:36:22
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:366.0nJ             
;Max:1.269uJ             
;Average:847.9nJ             
;Std.Dev.:137.1nJ             
;Overrange:0                   
;Total Pulses:12550               

;Channel B:Statistics
;Min:2.710uJ             
;Max:6.780uJ             
;Average:4.767uJ             
;Std.Dev.:605.6nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 12:36:27
  Timestamp   	  Channel A  	  Channel B  	
         4.879	  9.990e-07 	  5.420e-06 	
         4.900	  7.720e-07 	  4.670e-06 	
         4.919	  9.530e-07 	  5.200e-06 	
         4.940	  8.870e-07 	             	
         4.943	             	  5.070e-06 	
         4.960	  8.970e-07 	  5.110e-06 	
         4.979	             	  4.830e-06 	
         4.981	  8.480e-07 	             	
         4.999	  6.910e-07 	  4.150e-06 	
         5.020	  1.004e-06 	  5.270e-06 	
         5.040	  9.410e-07 	             	
         5.043	             	  5.270e-06 	
         5.061	  8.960e-07 	  5.080e-06 	
         5.079	  9.880e-07 	  5.520e-06 	
         5.100	  9.510e-07 	  5.450e-06 	
         5.119	  7.390e-07 	  4.550e-06 	
         5.140	  9.650e-07 	             	
         5.143	             	  5.260e-06 	
         5.159	  8.140e-07 	  4.840e-06 	
         5.179	  9.060e-07 	  5.040e-06 	
         5.199	  8.540e-07 	  4.930e-06 	
         5.220	  1.006e-06 	  5.510e-06 	
         5.241	  9.320e-07 	  5.350e-06 	
         5.261	  9.570e-07 	  5.380e-06 	
         5.279	  8.610e-07 	  5.030e-06 	
         5.299	  8.900e-07 	  5.010e-06 	
         5.320	  1.082e-06 	  5.860e-06 	
         5.339	  8.730e-07 	  5.240e-06 	
         5.359	  8.470e-07 	  4.920e-06 	
         5.379	  8.970e-07 	  5.110e-06 	
         5.399	  8.330e-07 	  4.820e-06 	
         5.419	  8.400e-07 	  4.770e-06 	
         5.440	  8.430e-07 	             	
         5.445	             	  4.750e-06 	
         5.461	  6.880e-07 	  4.120e-06 	
         6.721	  7.010e-07 	  4.010e-06 	
         6.739	  8.930e-07 	             	
         6.741	             	  4.760e-06 	
         6.759	  8.210e-07 	  4.610e-06 	
         6.779	  1.016e-06 	  5.480e-06 	
         6.800	  7.620e-07 	  4.670e-06 	
         6.820	  8.620e-07 	  4.850e-06 	
         6.840	  9.440e-07 	             	
         6.841	             	  5.240e-06 	
         6.859	  9.690e-07 	  5.400e-06 	
         6.879	  8.650e-07 	  5.060e-06 	
         6.900	  9.820e-07 	  5.420e-06 	
         6.921	  9.900e-07 	  5.580e-06 	
         6.940	  9.830e-07 	             	
         6.941	             	  5.630e-06 	
         6.959	  8.040e-07 	  4.880e-06 	
         6.979	  9.140e-07 	  5.090e-06 	
         7.000	  7.360e-07 	  4.410e-06 	
         7.019	  8.550e-07 	  4.740e-06 	
         7.040	  8.490e-07 	             	
         7.041	             	  4.790e-06 	
         7.061	  8.450e-07 	  4.830e-06 	
         7.079	  8.770e-07 	  4.960e-06 	
         7.100	  9.410e-07 	  5.280e-06 	
         7.121	  9.960e-07 	  5.550e-06 	
         7.140	  9.650e-07 	             	
         7.142	             	  5.500e-06 	
         7.160	  9.270e-07 	  5.340e-06 	
         7.179	  8.330e-07 	  4.870e-06 	
         7.200	  7.970e-07 	  4.620e-06 	
         7.219	  8.140e-07 	  4.600e-06 	
         7.240	  6.180e-07 	             	
         7.242	             	  3.790e-06 	
         7.260	             	  4.100e-06 	
         7.261	  7.460e-07 	             	
         7.279	  9.050e-07 	  4.860e-06 	
         7.299	  8.820e-07 	  5.010e-06 	
         7.320	  8.790e-07 	  5.010e-06 	
         7.340	  9.330e-07 	  5.260e-06 	
         7.360	  9.470e-07 	  5.340e-06 	
         7.379	  8.970e-07 	  5.160e-06 	
         7.399	  8.280e-07 	  4.820e-06 	
         7.419	  1.024e-06 	  5.530e-06 	
         7.439	  9.010e-07 	             	
         7.443	             	  5.200e-06 	
         7.460	  1.076e-06 	  5.840e-06 	
         7.480	  6.680e-07 	  4.350e-06 	
         7.499	  9.750e-07 	  5.140e-06 	
         7.519	  9.460e-07 	  5.270e-06 	
         7.539	  5.860e-07 	             	
         7.543	             	  3.810e-06 	
         7.561	  5.880e-07 	  3.460e-06 	
         7.578	  9.360e-07 	             	
         7.579	             	  4.820e-06 	
         7.600	  6.960e-07 	  4.230e-06 	
         7.619	  9.440e-07 	  5.010e-06 	
         7.639	  8.230e-07 	             	
         7.643	             	  4.740e-06 	
         7.659	  6.590e-07 	  4.010e-06 	
         7.679	  8.800e-07 	  4.660e-06 	
         7.699	  6.600e-07 	             	
         7.702	             	  3.990e-06 	
         8.961	  7.160e-07 	  4.020e-06 	
         8.979	  7.480e-07 	  4.180e-06 	
         9.000	  6.820e-07 	  3.950e-06 	
         9.021	  6.070e-07 	  3.590e-06 	
         9.039	  6.780e-07 	  3.770e-06 	
         9.060	  9.620e-07 	  4.960e-06 	
         9.079	  7.630e-07 	  4.470e-06 	
         9.099	  5.580e-07 	  3.530e-06 	
         9.121	  7.100e-07 	  3.890e-06 	
         9.138	  9.570e-07 	  4.980e-06 	
         9.161	  8.650e-07 	  4.920e-06 	
         9.180	  7.810e-07 	  4.560e-06 	
         9.199	  8.660e-07 	  4.810e-06 	
         9.219	  9.620e-07 	  5.290e-06 	
         9.239	  7.910e-07 	  4.750e-06 	
         9.260	  8.630e-07 	  4.850e-06 	
         9.279	  5.380e-07 	  3.570e-06 	
         9.300	  8.120e-07 	  4.340e-06 	
         9.320	  7.050e-07 	  4.120e-06 	
         9.339	  5.820e-07 	  3.520e-06 	
         9.361	  1.042e-06 	  5.220e-06 	
         9.379	  8.110e-07 	  4.730e-06 	
         9.400	  1.012e-06 	  5.410e-06 	
         9.420	  5.800e-07 	  3.850e-06 	
         9.440	  7.000e-07 	  3.970e-06 	
         9.460	  7.240e-07 	  4.090e-06 	
         9.479	  7.170e-07 	  4.070e-06 	
         9.499	  6.320e-07 	  3.680e-06 	
         9.520	             	  4.010e-06 	
         9.522	  7.270e-07 	             	
         9.540	  7.240e-07 	  4.090e-06 	
         9.558	  6.060e-07 	  3.660e-06 	
         9.579	  5.760e-07 	  3.340e-06 	
         9.600	  9.290e-07 	  4.660e-06 	
         9.621	  7.490e-07 	  4.320e-06 	
         9.640	  7.950e-07 	  4.470e-06 	
         9.661	  9.070e-07 	  4.970e-06 	
         9.679	  6.240e-07 	  3.910e-06 	
         9.699	  7.860e-07 	  4.330e-06 	
         9.719	  8.780e-07 	  4.750e-06 	
         9.740	  8.770e-07 	  4.890e-06 	
         9.760	  1.064e-06 	  5.750e-06 	
         9.779	  9.700e-07 	  5.570e-06 	
         9.800	  9.340e-07 	  5.360e-06 	
         9.819	  8.350e-07 	  4.880e-06 	
         9.839	  8.760e-07 	  4.970e-06 	
         9.860	  7.810e-07 	  4.590e-06 	
         9.879	  7.220e-07 	  4.210e-06 	
         9.900	  7.360e-07 	  4.180e-06 	
         9.919	  1.021e-06 	  5.340e-06 	
         9.940	  6.500e-07 	  4.080e-06 	
        11.200	             	  5.510e-06 	
        11.202	  1.076e-06 	             	
        11.219	  7.870e-07 	  4.730e-06 	
        11.239	  8.430e-07 	  4.730e-06 	
        11.259	  9.840e-07 	  5.330e-06 	
        11.279	  8.040e-07 	  4.780e-06 	
        11.301	  8.330e-07 	  4.730e-06 	
        11.319	  7.560e-07 	  4.340e-06 	
        11.341	  1.089e-06 	  5.670e-06 	
        11.360	  7.920e-07 	  4.760e-06 	
        11.379	  8.310e-07 	  4.680e-06 	
        11.399	  8.910e-07 	  5.010e-06 	
        11.420	  8.160e-07 	  4.690e-06 	
        11.440	  6.270e-07 	  3.830e-06 	
        11.460	  7.880e-07 	  4.250e-06 	
        11.479	  7.970e-07 	  4.450e-06 	
        11.500	  5.500e-07 	  3.440e-06 	
        11.520	  8.850e-07 	  4.590e-06 	
        11.541	  1.047e-06 	  5.530e-06 	
        11.560	  9.130e-07 	  5.310e-06 	
        11.579	  7.460e-07 	  4.530e-06 	
        11.599	  7.210e-07 	  4.170e-06 	
        11.620	  9.410e-07 	  4.980e-06 	
        11.639	  1.018e-06 	  5.510e-06 	
        11.659	  9.810e-07 	  5.500e-06 	
        11.679	  9.280e-07 	  5.340e-06 	
        11.700	  9.670e-07 	  5.400e-06 	
        11.721	  5.230e-07 	  3.650e-06 	
        11.739	  7.620e-07 	  4.100e-06 	
        11.761	  8.860e-07 	  4.740e-06 	
        11.779	             	  4.980e-06 	
        11.781	  8.940e-07 	             	
        11.799	  8.510e-07 	  4.900e-06 	
        11.821	  8.800e-07 	  4.970e-06 	
        11.840	  7.300e-07 	  4.400e-06 	
        11.861	  5.710e-07 	  3.530e-06 	
        11.879	  8.010e-07 	  4.250e-06 	
        11.899	  6.510e-07 	  3.810e-06 	
        11.919	  7.360e-07 	  4.060e-06 	
        11.939	  7.930e-07 	  4.360e-06 	
        11.961	  7.450e-07 	  4.240e-06 	
        11.979	  7.940e-07 	  4.410e-06 	
        12.000	  8.840e-07 	  4.880e-06 	
        12.019	  8.690e-07 	  4.950e-06 	
        12.039	  6.940e-07 	  4.240e-06 	
        12.061	  8.000e-07 	  4.450e-06 	
        12.079	  7.940e-07 	  4.510e-06 	
        12.101	  7.590e-07 	  4.390e-06 	
        12.119	  8.420e-07 	  4.640e-06 	
        12.139	  6.810e-07 	             	
        12.140	             	  4.090e-06 	
        12.160	  9.820e-07 	  5.130e-06 	
        12.179	  7.290e-07 	  4.410e-06 	
        13.461	  8.620e-07 	  4.710e-06 	
        13.479	  1.036e-06 	  5.530e-06 	
        13.500	  8.040e-07 	  4.800e-06 	
        13.519	  7.130e-07 	  4.260e-06 	
        13.540	  9.570e-07 	  5.100e-06 	
        13.560	  8.020e-07 	  4.730e-06 	
        13.579	  8.960e-07 	  4.990e-06 	
        13.600	  7.580e-07 	  4.490e-06 	
        13.619	  6.500e-07 	  3.880e-06 	
        13.641	  8.610e-07 	  4.580e-06 	
        13.661	  9.150e-07 	  4.990e-06 	
