;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 13:07:46
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:125.0nJ             
;Max:812.0nJ             
;Average:447.0nJ             
;Std.Dev.:120.5nJ             
;Overrange:0                   
;Total Pulses:12490               

;Channel B:Statistics
;Min:890.0nJ             
;Max:4.150uJ             
;Average:2.480uJ             
;Std.Dev.:524.7nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 13:08:04
  Timestamp   	  Channel A  	  Channel B  	
         4.878	  5.110e-07 	  2.970e-06 	
         4.899	  5.190e-07 	  2.950e-06 	
         4.918	  3.310e-07 	  2.170e-06 	
         4.940	  5.790e-07 	  2.930e-06 	
         4.958	  5.460e-07 	  3.000e-06 	
         4.979	  5.290e-07 	  2.980e-06 	
         5.000	  3.180e-07 	  2.100e-06 	
         5.018	  5.480e-07 	  2.770e-06 	
         5.040	  5.440e-07 	  2.940e-06 	
         5.058	  5.070e-07 	  2.830e-06 	
         5.080	             	  3.040e-06 	
         5.083	  5.620e-07 	             	
         5.098	  5.520e-07 	  3.050e-06 	
         5.118	  6.300e-07 	  3.340e-06 	
         5.140	  5.390e-07 	  3.110e-06 	
         5.158	  4.320e-07 	  2.630e-06 	
         5.178	  2.320e-07 	             	
         5.181	             	  1.680e-06 	
         5.200	  4.340e-07 	  2.220e-06 	
         5.218	  5.400e-07 	  2.800e-06 	
         5.240	  5.530e-07 	  3.020e-06 	
         5.258	  4.390e-07 	  2.620e-06 	
         5.279	  2.720e-07 	  1.860e-06 	
         5.299	  4.760e-07 	  2.460e-06 	
         5.318	  4.830e-07 	  2.660e-06 	
         5.340	  4.930e-07 	  2.740e-06 	
         5.358	  5.080e-07 	  2.820e-06 	
         5.380	  5.010e-07 	  2.780e-06 	
         5.399	             	  3.110e-06 	
         5.400	  5.800e-07 	             	
         5.418	  3.200e-07 	  2.150e-06 	
         5.440	  4.940e-07 	  2.610e-06 	
         5.458	  5.370e-07 	  2.860e-06 	
         5.480	  5.100e-07 	  2.860e-06 	
         5.499	  3.910e-07 	  2.390e-06 	
         5.518	  4.760e-07 	             	
         5.524	             	  2.570e-06 	
         5.540	  4.190e-07 	  2.420e-06 	
         5.558	  3.020e-07 	  1.870e-06 	
         6.823	  4.590e-07 	  2.360e-06 	
         6.840	  3.840e-07 	  2.190e-06 	
         6.859	  4.970e-07 	  2.590e-06 	
         6.880	  3.820e-07 	  2.230e-06 	
         6.898	  4.730e-07 	  2.450e-06 	
         6.918	  5.080e-07 	  2.740e-06 	
         6.940	  3.850e-07 	  2.300e-06 	
         6.959	  3.450e-07 	  2.050e-06 	
         6.980	  5.250e-07 	  2.670e-06 	
         6.998	             	  1.640e-06 	
         7.000	  2.220e-07 	             	
         7.018	  5.010e-07 	  2.530e-06 	
         7.040	  5.410e-07 	  2.920e-06 	
         7.059	  2.970e-07 	  2.010e-06 	
         7.080	  2.740e-07 	  1.660e-06 	
         7.098	  4.660e-07 	  2.380e-06 	
         7.118	  5.660e-07 	  2.950e-06 	
         7.140	  5.300e-07 	  2.980e-06 	
         7.159	  5.150e-07 	  2.940e-06 	
         7.180	  3.750e-07 	  2.320e-06 	
         7.198	             	  2.780e-06 	
         7.200	  5.220e-07 	             	
         7.219	  5.090e-07 	  2.830e-06 	
         7.239	  5.520e-07 	  3.040e-06 	
         7.259	  4.770e-07 	  2.760e-06 	
         7.280	  5.740e-07 	  3.050e-06 	
         7.298	  5.310e-07 	  3.010e-06 	
         7.318	  3.810e-07 	  2.360e-06 	
         7.340	             	  2.200e-06 	
         7.342	  3.890e-07 	             	
         7.359	  1.890e-07 	  1.370e-06 	
         7.381	  3.060e-07 	  1.620e-06 	
         7.398	             	  1.640e-06 	
         7.400	  2.960e-07 	             	
         7.418	  3.520e-07 	  1.880e-06 	
         7.440	  6.090e-07 	  2.950e-06 	
         7.458	  3.400e-07 	  2.200e-06 	
         7.480	  4.480e-07 	  2.390e-06 	
         7.498	  4.580e-07 	  2.520e-06 	
         7.518	  4.800e-07 	  2.660e-06 	
         7.540	  3.160e-07 	  2.020e-06 	
         7.557	  5.210e-07 	  2.670e-06 	
         7.580	  5.750e-07 	  3.090e-06 	
         7.599	  4.720e-07 	  2.710e-06 	
         7.618	  3.060e-07 	  1.990e-06 	
         7.640	  4.160e-07 	  2.200e-06 	
         7.659	  4.040e-07 	  2.240e-06 	
         7.680	  3.340e-07 	  2.000e-06 	
         7.699	  3.280e-07 	  1.900e-06 	
         7.718	  2.830e-07 	  1.650e-06 	
