;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 09:54:00
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:200uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:7.410uJ             
;Max:12.11uJ             
;Average:10.08uJ             
;Std.Dev.:755.4nJ             
;Overrange:0                   
;Total Pulses:4050                

;Channel B:Statistics
;Min:45.60uJ             
;Max:66.70uJ             
;Average:57.43uJ             
;Std.Dev.:3.683uJ             
;Overrange:0                   
;Total Pulses:4050                
;--------------------


;First Pulse Arrived : 20/01/2023 at 09:54:03
  Timestamp   	  Channel A  	  Channel B  	
         4.800	  9.950e-06 	  5.440e-05 	
         4.820	  9.720e-06 	  5.390e-05 	
         4.841	  9.340e-06 	  5.230e-05 	
         4.860	  9.930e-06 	             	
         4.862	             	  5.430e-05 	
         4.881	  9.460e-06 	             	
         4.882	             	  5.290e-05 	
         4.900	  9.790e-06 	  5.340e-05 	
         4.919	  8.220e-06 	             	
         4.921	             	  4.790e-05 	
         4.940	  1.002e-05 	  5.320e-05 	
         4.960	  9.750e-06 	  5.320e-05 	
         4.980	  1.075e-05 	  5.640e-05 	
         5.000	  9.840e-06 	  5.460e-05 	
         5.020	  9.920e-06 	             	
         5.023	             	  5.420e-05 	
         5.040	  9.530e-06 	  5.300e-05 	
         5.060	  9.720e-06 	  5.350e-05 	
         5.081	             	  4.820e-05 	
         5.082	  8.430e-06 	             	
         5.100	  9.710e-06 	  5.170e-05 	
         5.119	  9.530e-06 	  5.210e-05 	
         5.141	  9.220e-06 	  5.100e-05 	
         5.159	  9.890e-06 	  5.320e-05 	
         5.180	  9.540e-06 	  5.250e-05 	
         5.200	  9.540e-06 	  5.260e-05 	
         5.219	  9.360e-06 	  5.070e-05 	
         5.239	  1.000e-05 	  5.370e-05 	
         5.260	  9.460e-06 	  5.250e-05 	
         5.281	  9.950e-06 	  5.500e-05 	
         5.300	  9.690e-06 	  5.350e-05 	
         5.320	  1.011e-05 	  5.430e-05 	
         5.339	  8.610e-06 	  4.940e-05 	
         5.360	  9.320e-06 	             	
         5.362	             	  5.060e-05 	
         5.380	  8.980e-06 	             	
         5.382	             	  4.960e-05 	
         5.399	  8.970e-06 	  5.000e-05 	
         5.420	  8.850e-06 	  4.930e-05 	
         5.440	  1.004e-05 	  5.420e-05 	
         5.460	  8.820e-06 	  5.050e-05 	
         6.723	  9.120e-06 	             	
         6.724	             	  5.170e-05 	
         6.740	  9.360e-06 	  5.290e-05 	
         6.761	  9.690e-06 	  5.460e-05 	
         6.781	  1.035e-05 	  5.760e-05 	
         6.799	  1.002e-05 	  5.760e-05 	
         6.820	  9.280e-06 	  5.500e-05 	
         6.840	  9.500e-06 	  5.480e-05 	
         6.861	  9.910e-06 	             	
         6.863	             	  5.620e-05 	
         6.879	  9.360e-06 	  5.500e-05 	
         6.900	  9.290e-06 	  5.430e-05 	
         6.921	  9.680e-06 	  5.500e-05 	
         6.941	  8.920e-06 	  5.260e-05 	
         6.959	  9.480e-06 	  5.360e-05 	
         6.981	  9.720e-06 	  5.240e-05 	
         7.000	  9.960e-06 	  5.630e-05 	
         7.020	  9.330e-06 	  5.460e-05 	
         7.039	  9.970e-06 	  5.640e-05 	
         7.061	  8.770e-06 	  5.170e-05 	
         7.081	  9.250e-06 	  5.160e-05 	
         7.099	  9.630e-06 	  5.460e-05 	
         7.120	  1.011e-05 	  5.670e-05 	
         7.140	  9.040e-06 	             	
         7.142	             	  5.380e-05 	
         7.161	  9.440e-06 	  5.400e-05 	
         7.181	  1.014e-05 	  5.660e-05 	
         7.199	  9.180e-06 	  5.410e-05 	
         7.220	  9.390e-06 	  5.350e-05 	
         7.240	  9.280e-06 	  5.410e-05 	
         7.261	  1.017e-05 	  5.550e-05 	
         7.281	  9.710e-06 	  5.490e-05 	
         7.299	  1.039e-05 	  5.570e-05 	
         7.321	  9.690e-06 	  5.590e-05 	
         7.341	  8.360e-06 	  5.090e-05 	
         7.363	  1.032e-05 	  5.690e-05 	
         7.380	  9.530e-06 	             	
         7.382	             	  5.580e-05 	
         7.399	  1.034e-05 	  5.810e-05 	
         7.421	  9.130e-06 	  5.440e-05 	
         7.441	  9.980e-06 	  5.680e-05 	
         7.461	  9.200e-06 	  5.300e-05 	
         7.481	  9.790e-06 	  5.530e-05 	
         7.500	  1.016e-05 	  5.770e-05 	
         7.519	  1.006e-05 	  5.730e-05 	
         7.540	  9.550e-06 	  5.630e-05 	
         7.561	  9.740e-06 	  5.610e-05 	
         7.581	  9.920e-06 	  5.640e-05 	
         7.599	  1.023e-05 	  5.820e-05 	
         7.621	  9.430e-06 	  5.590e-05 	
         7.640	  9.350e-06 	  5.490e-05 	
         7.660	  9.150e-06 	  5.370e-05 	
         7.681	  1.024e-05 	  5.750e-05 	
         7.699	  9.350e-06 	  5.510e-05 	
         8.982	  9.440e-06 	  5.460e-05 	
         8.999	  9.980e-06 	  5.600e-05 	
         9.019	  9.510e-06 	  5.520e-05 	
         9.040	  9.540e-06 	  5.420e-05 	
         9.061	  9.600e-06 	  5.470e-05 	
         9.081	  1.029e-05 	  5.730e-05 	
         9.099	  1.082e-05 	  5.940e-05 	
         9.120	  8.940e-06 	  5.340e-05 	
         9.139	  1.007e-05 	  5.660e-05 	
         9.161	  1.034e-05 	  5.660e-05 	
         9.180	  9.100e-06 	  5.280e-05 	
         9.200	  1.070e-05 	  5.720e-05 	
         9.220	  8.930e-06 	  5.320e-05 	
         9.239	  1.007e-05 	  5.530e-05 	
